x1,y1,x2,y2,confidence,resolution,tile_id
5473.171,1147.8805,5590.083,1247.9637,0.61142725,1.0,19
5842.8477,982.1473,5914.9023,1041.1162,0.52990395,1.0,19
6043.0273,1085.4624,6112.0,1176.2715,0.4473292,1.0,19
5479.824,1061.565,5611.0625,1163.7627,0.3858232,1.0,19
5694.3115,992.00525,5839.573,1096.6163,0.322531,1.0,19
5531.6904,608.0804,5679.659,716.2902,0.29448605,1.0,19
5472.334,1191.7085,5576.91,1248.0,0.2905075,1.0,19
88.83612,1278.692,184.3035,1360.7181,0.3894924,1.0,20
29.167206,1632.2727,157.64056,1732.5105,0.30605558,1.0,20
1049.346,1626.3242,1213.5073,1789.0459,0.42340964,1.0,21
846.8621,1622.4888,992.9528,1735.751,0.35091484,1.0,21
1182.793,1807.6697,1248.0,1855.9949,0.226163,1.0,21
1812.6157,1816.8652,1855.718,1855.9802,0.5334994,1.0,22
1664.0256,1763.904,1803.5276,1855.5864,0.47266197,1.0,22
1678.9342,1657.1514,1731.254,1714.9814,0.40662023,1.0,22
1463.9415,1726.196,1647.5424,1855.7576,0.3986192,1.0,22
1553.9739,1631.8624,1733.9114,1804.5868,0.36705726,1.0,22
1477.7572,1216.3214,1571.0924,1276.3944,0.3486516,1.0,22
1216.8431,1774.9011,1346.0057,1855.8411,0.34454298,1.0,22
1679.2834,1624.5142,1809.9333,1749.0217,0.3129727,1.0,22
1730.2277,1796.102,1812.2792,1856.0,0.25267786,1.0,22
1280.0852,1665.4164,1423.8359,1814.6373,0.23511004,1.0,22
1824.1361,1676.3533,1923.2526,1812.7117,0.6357419,1.0,23
2329.5728,1666.114,2410.1333,1747.4211,0.5106874,1.0,23
2043.7335,1643.5789,2111.7668,1699.7883,0.4390064,1.0,23
1824.1578,1216.1847,1872.5323,1268.789,0.40461424,1.0,23
2013.9906,1700.0725,2128.6274,1816.0776,0.39106956,1.0,23
2232.0708,1639.5481,2273.9102,1682.0962,0.36262524,1.0,23
2204.5298,1804.7329,2287.484,1855.7224,0.3543454,1.0,23
2314.0303,1216.0929,2415.5068,1255.3195,0.3530489,1.0,23
1824.2036,1816.9156,1912.022,1855.9833,0.31588954,1.0,23
1954.3855,1802.5826,2043.6306,1855.7953,0.29007623,1.0,23
2299.0837,1808.5377,2380.3591,1855.9154,0.27288234,1.0,23
1824.2827,1810.1431,1932.5793,1855.9934,0.2394435,1.0,23
2247.296,1216.1575,2320.3745,1266.3694,0.21913296,1.0,23
2746.7422,1637.3962,2801.4775,1684.2561,0.66707516,1.0,24
2515.6604,1733.8955,2656.214,1833.8223,0.62086207,1.0,24
2507.7314,1644.4138,2641.04,1751.1375,0.59458923,1.0,24
2572.297,1216.0,2671.283,1296.6702,0.5888806,1.0,24
3019.452,1787.7075,3071.929,1855.8015,0.5248985,1.0,24
2639.4478,1773.5642,2707.5718,1834.1323,0.51979005,1.0,24
2805.1765,1648.9719,2888.3503,1727.0798,0.51395243,1.0,24
2980.4546,1216.0,3072.0,1333.1458,0.44657767,1.0,24
2796.4688,1216.0,2909.627,1294.5818,0.39605612,1.0,24
2733.4565,1216.0087,2818.2925,1261.786,0.28301316,1.0,24
2700.863,1753.5635,2833.423,1855.6946,0.23277953,1.0,24
3573.4958,1658.1123,3679.9475,1808.8279,0.7328264,1.0,25
3050.1045,1744.8887,3104.0244,1797.6797,0.57664144,1.0,25
3164.8704,1669.699,3344.0378,1838.8242,0.39978695,1.0,25
3040.0,1216.1881,3094.9458,1268.6346,0.3544287,1.0,25
3315.6462,1766.6368,3429.7258,1855.9257,0.25964978,1.0,25
3586.916,1796.7144,3679.913,1855.9917,0.21619044,1.0,25
3756.6633,1692.717,3868.8713,1807.2727,0.4782286,1.0,26
3667.1343,1805.3899,3755.5854,1855.8899,0.3780032,1.0,26
3648.0,1291.7296,3749.6865,1404.9249,0.358396,1.0,26
4218.0225,1216.1412,4288.0,1313.5282,0.34627897,1.0,26
3648.0789,1672.6624,3706.2595,1738.6804,0.2407406,1.0,26
3672.595,1702.2694,3777.57,1814.837,0.23964384,1.0,26
4095.853,1692.5066,4190.111,1775.811,0.22280954,1.0,26
3973.6985,1216.0,4175.4033,1387.1868,0.21721044,1.0,26
4256.0,1709.2808,4379.3184,1855.5044,0.48941588,1.0,27
4486.724,1216.2003,4567.68,1276.8947,0.34708664,1.0,27
4531.3335,1689.0154,4733.678,1856.0,0.32566053,1.0,27
4668.493,1800.0088,4774.544,1856.0,0.23497374,1.0,27
4540.135,1791.8567,4631.6895,1855.8103,0.2182967,1.0,27
5469.233,1216.0535,5503.946,1276.7253,0.30137077,1.0,28
4976.357,1765.7527,5097.648,1856.0,0.26793465,1.0,28
5150.2783,1680.5583,5355.5225,1856.0,0.2053255,1.0,28
5508.978,1257.3778,5587.815,1324.1324,0.5676158,1.0,29
5472.3745,1216.0166,5585.1313,1271.803,0.5480027,1.0,29
6003.2886,1720.8953,6111.6255,1854.6609,0.5408305,1.0,29
5570.319,1745.2872,5671.056,1821.0604,0.29996708,1.0,29
5637.4717,1803.9651,5709.2188,1855.7507,0.23597606,1.0,29
5738.289,1818.3367,5856.8857,1855.9875,0.22287959,1.0,29
89.28671,2388.091,215.78244,2463.923,0.6262536,1.0,30
70.183304,2258.2192,215.82774,2397.5269,0.44509995,1.0,30
0.00045013428,1824.0,98.41831,1900.5369,0.33597732,1.0,30
88.34921,1824.0,254.14389,1910.0828,0.27850056,1.0,30
1179.2212,1824.2172,1248.0,1944.505,0.6689667,1.0,31
916.4085,2247.0542,1074.3054,2405.0298,0.44018477,1.0,31
1069.5657,2354.0942,1194.9023,2463.8198,0.37449273,1.0,31
719.51917,2250.115,959.89734,2457.3137,0.36858195,1.0,31
1168.1478,2322.6646,1247.9723,2455.7651,0.3089677,1.0,31
1060.8115,2339.787,1241.3364,2463.7295,0.27767026,1.0,31
1178.709,2359.375,1247.8943,2450.1646,0.26625726,1.0,31
1275.0127,2352.3696,1426.8652,2464.0,0.6958186,1.0,32
